danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
0.536,0.601,7,-8.779,1,0.0735,0.691,0,0.336,0.688,74.86,147320,4,rock
0.478,0.482,1,-11.842,1,0.321,0.973,0,0.404,0.278,66.588,81413,3,classical
0.462,0.315,9,-11.672,1,0.0264,0.237,3.26E-06,0.231,0.356,164.786,254693,4,rock
0.323,0.157,4,-11.284,0,0.0303,0.862,0,0.201,0.0315,100.205,420216,4,bollywood
0.612,0.868,10,-10.968,0,0.0415,0.157,0.942,0.171,0.309,129.854,506595,4,dance
0.658,0.93,0,-6.098,0,0.0422,0.146,0,0.157,0.718,144.073,171933,4,rock
0.802,0.919,0,-3.107,1,0.0592,0.00011,0.105,0.107,0.398,124.994,278400,4,dance
0.722,0.774,9,-3.44,1,0.0722,0.0098,0,0.107,0.436,146.051,214819,4,hip-hop
0.544,0.879,2,-7.511,1,0.0517,0.00201,0.832,0.0798,0.0742,140.031,204800,4,dance
0.76,0.517,7,-7.539,1,0.0936,0.264,1.17E-06,0.0882,0.128,90.068,154667,4,dance
0.475,0.95,5,-4.034,1,0.065,2.94E-05,3.70E-05,0.115,0.549,104.049,283880,4,rock
0.56,0.0349,11,-21.613,1,0.0715,0.969,0.84,0.136,0.242,121.02,148360,4,classical
0.566,0.634,2,-5.551,1,0.0443,0.145,0.000716,0.0814,0.36,143.89,342669,4,bollywood
0.483,0.802,0,-9.08,1,0.437,0.664,0.594,0.279,0.227,133.308,111028,4,hip-hop
0.581,0.809,7,-9.872,0,0.138,0.165,0.789,0.132,0.282,160.087,314967,4,dance
0.377,0.241,7,-15.429,1,0.0413,0.846,9.06E-06,0.491,0.174,122.539,237267,4,rock
0.855,0.618,0,-5.6,1,0.265,0.664,0,0.0825,0.576,90.035,285333,4,hip-hop
0.666,0.711,7,-7.155,0,0.0605,0.58,2.85E-05,0.149,0.768,111.976,353254,4,bollywood
0.665,0.865,10,-4.046,1,0.0734,0.119,0.0132,0.0924,0.96,159.932,182850,4,rock
0.322,0.0772,0,-17.942,1,0.0342,0.96,0.866,0.359,0.189,102.96,346147,4,classical
0.669,0.866,2,-6.628,1,0.0499,0.0593,0,0.0463,0.288,119.997,280137,4,bollywood
0.413,0.509,11,-9.32,0,0.0635,0.37,0,0.616,0.351,144.493,110281,4,bollywood
0.545,0.633,2,-6.196,1,0.161,0.00491,6.95E-06,0.352,0.361,93.381,377108,4,hip-hop
0.608,0.653,8,-7.573,0,0.0427,0.507,0.000243,0.107,0.423,86.933,326765,4,bollywood
0.195,0.935,2,-4.066,1,0.141,1.17E-05,0.209,0.344,0.219,135.69,256262,4,rock
0.424,0.0327,6,-26.418,0,0.0424,0.987,0.903,0.0535,0.0414,109.92,400147,4,classical
0.513,0.292,2,-13.726,1,0.0342,0.954,0.907,0.19,0.648,81.185,250040,4,classical
0.443,0.545,3,-10.408,0,0.0466,0.461,0.00264,0.295,0.773,141.997,415693,4,bollywood
0.515,0.14,4,-20.369,0,0.0403,0.992,0.862,0.0886,0.443,131.11,124250,4,classical
0.831,0.294,9,-12.116,0,0.122,0.139,0,0.0871,0.43,137.893,226440,4,rock
0.595,0.77,1,-8.735,1,0.0423,0.713,0,0.258,0.718,84.907,236999,4,bollywood
0.128,0.0996,9,-22.556,1,0.0388,0.863,0.00594,0.0754,0.136,78.669,238347,4,classical
0.514,0.581,0,-6.866,1,0.0279,0.147,3.84E-05,0.0631,0.779,91.931,174160,4,rock
0.623,0.782,1,-5.743,1,0.154,0.0477,0,0.391,0.309,86.968,224287,4,hip-hop
0.325,0.054,6,-26.291,1,0.0489,0.99,0.753,0.105,0.164,79.625,145200,3,classical
0.389,0.874,0,-5.848,1,0.0539,0.153,1.66E-05,0.716,0.542,172.89,172480,4,rock
0.676,0.709,9,-5.545,1,0.14,0.189,0,0.0736,0.336,76.528,172313,4,hip-hop
0.428,0.373,3,-10.098,1,0.0313,0.796,0,0.131,0.306,54.009,125173,3,rock
0.323,0.0282,7,-31.152,0,0.0422,0.994,0.869,0.0828,0.0588,67.682,158732,3,classical
0.188,0.024,9,-24.027,0,0.0419,0.939,0.328,0.0748,0.0487,169.11,311266,4,classical
0.534,0.484,0,-7.462,1,0.0285,0.668,0.0249,0.166,0.112,120.068,280000,4,rock
0.416,0.867,1,-2.785,1,0.0502,7.41E-05,1.38E-05,0.266,0.607,110.048,208867,4,rock
0.369,0.259,9,-13.78,1,0.038,0.956,0.851,0.135,0.256,133.236,337960,4,classical
0.527,0.959,11,-4.35,1,0.0386,0.091,0.11,0.647,0.925,135.02,191573,4,rock
0.635,0.432,11,-10.091,0,0.051,0.248,0,0.506,0.0375,133.964,257873,4,hip-hop
0.602,0.809,2,-5.528,1,0.0327,3.53E-05,0.14,0.344,0.0872,138.054,322897,4,bollywood
0.618,0.489,9,-14.315,1,0.0309,0.511,4.36E-05,0.202,0.871,90.099,239267,4,rock
0.209,0.241,6,-10.954,1,0.0371,0.941,0.881,0.696,0.0625,101.406,1059827,4,classical
0.796,0.793,2,-4.708,0,0.18,0.0126,0,0.255,0.606,99.999,206000,4,hip-hop
0.269,0.13,11,-18.946,1,0.0448,0.969,0.834,0.15,0.0833,94.619,678480,4,classical
0.627,0.572,7,-6.598,1,0.0847,0.872,0.00387,0.14,0.828,129.487,255364,4,bollywood
0.554,0.513,0,-6.216,0,0.0285,0.039,6.23E-06,0.103,0.205,148.082,203667,3,dance
0.165,0.0501,2,-17.563,0,0.0383,0.919,0.686,0.109,0.101,140.457,81560,5,classical
0.756,0.861,7,-6.146,1,0.218,0.189,0,0.214,0.646,92.025,188093,4,hip-hop
0.585,0.798,0,-7.141,0,0.0627,0.554,4.09E-05,0.213,0.65,93.035,310137,4,bollywood
0.761,0.899,10,-3.09,0,0.183,0.0137,0,0.0719,0.673,95.021,217587,4,hip-hop
0.519,0.314,0,-15.506,0,0.0367,0.365,1.24E-06,0.115,0.339,140.987,320473,3,bollywood
0.495,0.728,6,-6.453,0,0.103,0.597,3.82E-05,0.0993,0.68,155.892,309273,4,bollywood
0.586,0.417,7,-10.953,1,0.0282,0.772,0.00517,0.0798,0.398,115.864,221627,4,rock
0.241,0.937,10,-6.318,0,0.0989,0.000229,0.96,0.298,0.327,120.057,321000,4,rock
0.794,0.878,11,-7.502,0,0.078,0.00138,0.029,0.197,0.352,129.978,243319,4,bollywood
